MatchID,Defending Result,Defending Team,Chasing Team,Defending Stadium,Time,Defending Toss,Bat2 Strength,Bowl2 Strength,First Inn Score,First Inn Median,Second Inn Median,Ground Altitude,Ground Length,Ground Width
147,1,RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,AWAY,Day/Night,WON,25111.66665,3924.346675,195,158.5,136,917,118.872,107.8992
148,0,MUMBAI INDIANS,DELHI CAPITALS,HOME,Day/Night,LOST,29693.1082,4609.684519,92,159,146,3,140,140
149,0,DECCAN CHARGERS,RAJASTHAN ROYALS,AWAY,Day,WON,26332.89294,3897.438946,196,153,144,429,145.06,142.33
150,0,PUNE WARRIORS,ROYAL CHALLENGERS BANGALORE,AWAY,Day/Night,WON,25753.65083,4028.455798,182,160,136,917,118.872,107.8992
151,0,PUNJAB KINGS,KOLKATA KNIGHT RIDERS,HOME,Day/Night,WON,23759.31537,3806.710873,124,178,152,318,137.16,137.16
152,0,DECCAN CHARGERS,DELHI CAPITALS,AWAY,Day,WON,27615.20654,3645.614446,157,168,137,208,136,130
153,1,CHENNAI SUPER KINGS,PUNE WARRIORS,HOME,Day/Night,LOST,23912.22081,3771.181836,164,165,149,5,131.66,137.16
154,0,PUNJAB KINGS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,LOST,27722.52167,3041.464642,163,176.5,149.5,318,137.16,137.16
155,0,RAJASTHAN ROYALS,CHENNAI SUPER KINGS,AWAY,Day,WON,30737.30667,4143.028846,146,164.5,150,5,131.66,137.16
156,1,PUNE WARRIORS,DELHI CAPITALS,AWAY,Day/Night,LOST,29735.61453,3118.839595,192,164,139,208,136,130
157,0,MUMBAI INDIANS,PUNJAB KINGS,HOME,Day,WON,22755.55371,4378.580647,163,157.5,141,3,140,140
158,0,DECCAN CHARGERS,KOLKATA KNIGHT RIDERS,HOME,Day/Night,LOST,24667.60346,3463.429552,126,163.3,151.4,26,148.23,144.72
159,1,ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,AWAY,Day/Night,LOST,29917.4517,2685.982872,189,154.5,145,429,145.06,142.33
160,0,PUNE WARRIORS,DELHI CAPITALS,HOME,Day,WON,28901.4044,3382.639778,146,159.3,146.4,590,140.7,139.87
161,0,PUNJAB KINGS,MUMBAI INDIANS,HOME,Day,WON,28113.25919,3331.849282,168,175,152,318,137.16,137.16
162,1,DECCAN CHARGERS,PUNE WARRIORS,AWAY,Day/Night,WON,25672.93844,3111.717806,177,156.4,146.4,590,140.7,139.87
163,1,DELHI CAPITALS,MUMBAI INDIANS,HOME,Day/Night,LOST,26736.02708,3449.647704,207,168,141,208,136,130
164,1,PUNJAB KINGS,CHENNAI SUPER KINGS,AWAY,Day,WON,32316.03111,3518.139579,156,164,149,5,131.66,137.16
165,1,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,WON,27770.11227,3981.939464,190,134.5,134,5,135,135
166,1,DELHI CAPITALS,RAJASTHAN ROYALS,HOME,Day,WON,25648.24911,3505.768714,152,172,144,208,136,130
167,0,DECCAN CHARGERS,MUMBAI INDIANS,AWAY,Day/Night,LOST,28282.40426,3538.744881,100,159,146,3,140,140
168,0,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,HOME,Day/Night,WON,25541.36836,3539.013173,139,162.5,149,5,131.66,137.16
169,1,DECCAN CHARGERS,PUNE WARRIORS,HOME,Day,WON,25477.23301,3550.085458,186,165.2,154.2,26,148.23,144.72
170,0,RAJASTHAN ROYALS,DELHI CAPITALS,HOME,Day/Night,WON,29369.50193,3690.840103,141,156,144,429,145.06,142.33
171,0,ROYAL CHALLENGERS BANGALORE,PUNJAB KINGS,HOME,Day/Night,LOST,23830.78025,2912.59037,158,162.5,136.5,917,118.872,107.8992
172,1,MUMBAI INDIANS,PUNE WARRIORS,AWAY,Day/Night,WON,26376.36313,4736.582527,120,160,150.4,590,140.7,139.87
173,1,CHENNAI SUPER KINGS,DECCAN CHARGERS,HOME,Day/Night,WON,19318.30491,3622.4368,160,161,149,5,131.66,137.16
